ebu,Embu,ebu,ebu,ኢቦኛ,إمبو,এম্বু,ebu,embú,embu,ebu,эмбу,ebu,ebu,ембу,ebu,এম্বু,ebu,embu,ebu,embu,embu,𑄃𑄬𑄟𑄳𑄝𑄪𑄪,эмбу,ebu,ebu,ᎡᎻᏊ,ئێمبوو,embu,Embw,kiembu,ebu,Embu,ebu,ebu,embu,ebu,ebu,ebu,Kĩembu,embugbe,Έμπου,Embu,ebu,embu,embu,embuera,ebu,امبو,ebu,embu,Embu,embu,embu,ebu,Embu,Ciambúis,Embu,embu,ebu,ઍમ્બુ,ebu,ebu,Embu,ebu,אמבו,एम्बु,embu,embu,embu,էմբու,embu,Embu,Ebụm,ebu,embu,embu,エンブ語,ebu,ebu,Embu,ემბუ,ebu,ebu,ebu,embu,ebu,ebu,эмбу тілі,ebu,ebu,ebu,អេមប៊ូ,ಎಂಬು,엠부어,एम्बु,ebu,ebu,ebu,Kîembu,ebu,ebu,эмбуча,ebu,Kiembu,ebu,ebu,ebu,ເອັມບູ,ئمبو,embu,ebu,ebu,ebu,kjembu,ebu,ebu,ebu,ebu,ebu,ebu,ebu,ebu,ембу,എംബു,эмбу,ebu,एम्बू,Embu,Embu,ebu,အမ်ဘူ,امبو,ebu,kiembu,ebu,एम्बु,Embu,ebu,embu,ebu,kiembu,ebu,ebu,ebu,ଏମ୍ଵୁ,ebu,ਇੰਬੂ,Ẹmbu Lángwej,embu,ايمبو,embu,Embu Simi,embu,ebu,embu,ebu,эмбу,ebu,ebu,ebu,ebu,ebu,ebu,ebu,embu,ايمبيو,ebu,ebu,ebu,ebu,ebu,එම්බු,embu,embujščina,embukielâ,ebu,Embu,embuisht,ембу,ebu,embu,Kiembu,எம்பு,ఇంబు,ebu,ebu,เอ็มบู,ኤምቡ,embu dili,lea fakaʻemipū,Embu,ebu,ebu,ebu,ئېمبۇچە,ембу,امبو,embu,ebu,Tiếng Embu,ebu,ebu,ebu,ebu,ebu,ebu,ebu,Èdè Ẹmbù,恩布文,ebu,恩布语,isi-Embu
ee,Ewe,ee,ee,ኢዊ,الإيوي,ইৱে,ee,ewe,eve,ee,эве,ee,ee,еве,ee,ইউয়ি,ee,ewe,एवे,eve,ewe,𑄃𑄨𑄅𑄠𑄨,эве,ee,ee,ᎡᏪ,ئێوێیی,eweština,Ewe,ewe,ee,Ewe,ee,ee,ewe,ee,ee,ee,ee,Eʋegbe,Έουε,Ewe,ee,ewé,eve,eweera,ee,اوه‌ای,ee,ewe,Ewe,ewe,éwé,ee,Ewe,Éabhais,Ewe,ewe,Ewe,ઈવ,ee,ee,Ewe,ee,אווה,ईवे,ewe,ewe,eve,էվե,ewe,Ewe,Ewe,ee,ewe,ewe,エウェ語,ee,ee,Ewe,ევე,ee,ee,ee,eve,ee,ee,эве тілі,ee,ee,ee,អ៊ីវ,ಈವ್,에웨어,एव,ایٖو,ee,ee,Ewe,eweyî,ee,эбече,ee,Ewe-Sprooch,ee,ee,ee,ອິວາ,ئڤئ,evių,ee,ee,ee,evu,ee,ee,ee,ee,ee,ee,ee,ee,еве,യൂവ്,эвэ,ee,एवे,Ewe,Ewe,ee,အီဝီ,اوه‌یی,ee,ewe,ee,इवी,Ewe,ee,ewe,ee,ewe,ee,ee,ee,ଇୱେ,ee,ਈਵਈ,Ẹ́wẹ́ Lángwej,ewe,ايو,ewe,Ewé Simi,ewe,ee,ewe,ee,эве,ee,ee,ee,ee,ee,ee,ee,ewe,ايو,ee,ee,ee,ee,ee,ඉව්,eweština,evenščina,ewekielâ,ee,Eewe,eveisht,еве,ee,ewe,Kiewe,ஈவ்,యూ,ee,ee,เอเว,ኢው,ewe dili,lea fakaʻeue,Ewe,ee,ee,ee,ئېۋېچە,еве,ایو,eve,ee,Tiếng Ewe,ee,ee,ee,ee,ee,ee,ee,Èdè Ewè,埃維文,ee,埃维语,isi-Ewe
el,Grieks,Gɨ̀lêʔ,Greek kasa,ግሪክኛ,اليونانية,গ্ৰীক,Kigiriki,griegu,yunan,Hɔp u gri ᷇kyà,грэчаская,Ichi Griki,Higiriki,гръцки,gɛrɛsikan,গ্রিক,el,gresianeg,ग्रीक,grčki,grec,𑄉𑄳𑄢𑄨𑄇𑄴,грекийн,el,Oruguriiki,ᎠᏂᎪᎢ,یۆنانی,řečtina,Groeg,græsk,Kigiriki,Griechisch,Grek senni,el,grichišćina,el,greek,གྲིཀ་ཁ,Kĩngriki,grisigbe,Ελληνικά,Greek,greka,griego,kreeka,greziera,Ǹkɔ́bɔ gəlɛ́g,یونانی,Gerke,kreikka,Greek,grikskt,grec,grêc,Gryks,Gréigis,Greugais,grego,Griechisch,ગ્રીક,Kigiriki,el,Girkanci,Helene,יוונית,यूनानी,grčki,grjekšćina,görög,հունարեն,greco,Yunani,Giriikị,el,gríska,greco,ギリシャ語,Ŋgɛlɛ̂k,Kyigiriki,Yunani,ბერძნული,Tagrikit,Kigiriki,Chigilichi,gregu,Grek senni,Kigiriki,грек тілі,el,el,kutitab Greece,ក្រិក,ಗ್ರೀಕ್,그리스어,ग्रीक्,یوٗنٲنی,Kigiiki,rigrɛ́k,Jrihschesch,yewnanî,el,грекче,Kɨgiríki,Griichesch,Lugereeki/Luyonaani,Greece Iyápi,ligeleki,ກຣີກ,یوٙنانی,graikų,Giliki,Kigiriki,Kigiriki,grieķu,el,nkʉtʉ́k ɔ́ɔ̄ lgiriki,Kĩngiriki,grek,Grika,Igiriki,el,el,грчки,ഗ്രീക്ക്,грек,el,ग्रीक,Greek,Grieg,grek,ဂရိ,یونانی,Xriks,gresk,isi-Giliki,ग्रीक,Grieks,Kiɛl bó grɛk,gresk,el,gresk,Thok girikni,Oruguriiki,Afaan Giriiki,ଗ୍ରୀକ୍,бердзейнаг,ਯੂਨਾਨੀ,Grík Lángwej,grecki,یوناني,grego,Griego Simi,grec,Ikigereki,greacă,Kigiriki,греческий,Ikigereki,Kyigiriki,el,Гириэктии,Kigiriki,el,Ishigiliki,grecu,يوناني,greikkagiella,grego,Grek senni,Gerêki,ⵜⴰⴳⵔⵉⴳⵉⵜ,ග්‍රීක,gréčtina,grščina,kreikakielâ,chiGreek,Giriik,greqisht,грчки,el,grekiska,Kigiriki,கிரேக்கம்,గ్రీక్,Kigiriki,юнонӣ,กรีก,ግሪኽኛ,grek dili,lea fakakalisi,Yunanca,грек,Grek senni,Tayunanit,گىرېكچە,грецька,یونانی,grek,ꗥꗷꘋ,Tiếng Hy Lạp,Kyigiriki,Gričiš,Gereg,el,Oluyonaani,yavánɛ,גריכיש,Èdè Giriki,希臘文,ⵜⴰⴳⵔⵉⴳⵉⵜ,希腊语,isi-Greek
en,Engels,Kɨŋgele,Borɔfo,እንግሊዝኛ,الإنجليزية,ইংৰাজী,Kiingeredha,inglés,ingilis,Hɔp u ŋgisì,англійская,Ichi Sungu,Hiingereza,английски,angilɛkan,ইংরেজি,དབྱིན་ཇིའི་སྐད།,saozneg,अंग्रेज़ी,engleski,anglès,𑄃𑄨𑄁𑄢𑄨𑄎𑄨,ингалсан,Ingles,Orungyereza,ᎩᎵᏏ,ئینگلیزی,angličtina,Saesneg,engelsk,Kingereza,Englisch,Inglisi senni,अंगरेजी,engelšćina,en,angle,ཨིང་ལིཤ་ཁ,Kĩthungu,Yevugbe,Αγγλικά,English,angla,inglés,inglise,ingeles,Ǹkɔ́bɔ éngəlís,انگلیسی,Engeleere,englanti,Ingles,enskt,anglais,inglês,Ingelsk,Béarla,Beurla,inglés,Änglisch,અંગ્રેજી,Kingereza,en,Turanci,Pelekānia,אנגלית,अंग्रेज़ी,engleski,jendźelšćina,angol,անգլերեն,anglese,Inggris,Bekee,ꑱꇩꉙ,enska,inglese,英語,Aŋgɛlúshi,Kyingereza,Inggris,ინგლისური,Taglizit,Kingereza,Chiingeleza,ingles,Inglisi senni,Gĩthungũ,ағылшын тілі,yaman,en,kutitab Uingeresa,អង់គ្លេស,ಇಂಗ್ಲಿಷ್,영어,इंग्लीश,اَنگیٖزۍ,Kiingeeza,riingɛrís,Änglesch,îngilîzî,en,англисче,Kɨɨngeréesa,Englesch,Lungereza,Wašíčuiyapi,lingɛlɛ́sa,ອັງກິດ,ئینگیلیسی,anglų,Lingelesa,Kingereza,Lusungu,angļu,अंग्रेज़ी,nkʉtʉ́k ɔ́ɔ̄ nkɨ́resa,Kĩngeretha,angle,Anglisy,Ingilishi,en,Ingarihi,англиски,ഇംഗ്ലീഷ്,англи,ইংলিস,इंग्रजी,Inggeris,Ingliż,zah Anglofoŋ,အင်္ဂလိပ်,انگلیسی,Engels,engelsk,isi-Ngisi,अङ्ग्रेजी,Engels,Ngɛ̄lɛ̄n,engelsk,ngilísè,engelsk,Thok liŋli̱thni,Orungyereza,Ingliffa,ଇଂରାଜୀ,англисаг,ਅੰਗਰੇਜ਼ੀ,Ínglish,angielski,انګليسي,inglês,Ingles Simi,englais,Icongereza,engleză,Kiingereza,английский,Icyongereza,Kyingereza,आङ्ग्लभाषा,Ааҥыллыы,Kingereza,ᱟᱝᱜᱽᱨᱮᱡᱤ,Ishingelesa,inglesu,انگريزي,eaŋgalsgiella,inglês,Inglisi senni,Anglëe,ⵜⴰⵏⴳⵍⵉⵣⵜ,ඉංග්‍රීසි,angličtina,angleščina,eŋgâlâskielâ,Chirungu,Ingiriisi,anglisht,енглески,Inggris,engelska,Kiingereza,ஆங்கிலம்,ఇంగ్లీష్,Kingereza,англисӣ,อังกฤษ,እንግሊዝኛ,iňlis dili,lea fakapālangi,İngilizce,инглиз,Inglisi senni,Tanglizt,ئىنگلىزچە,англійська,انگریزی,inglizcha,ꕶꕱ,Tiếng Anh,Kyingereza,Engliš,Àngale,en,Olungereza,íŋgilísé,ענגליש,Èdè Gẹ̀ẹ́sì,英文,ⵜⴰⵏⴳⵍⵉⵣⵜ,英语,i-English
eo,Esperanto,eo,eo,ኤስፐራንቶ,الإسبرانتو,এস্পেৰান্তো,eo,esperanto,esperanto,eo,эсперанта,eo,eo,есперанто,eo,এস্পেরান্তো,eo,esperanteg,एस्पेरान्तो,esperanto,esperanto,𑄆𑄥𑄴𑄛𑄬𑄢𑄚𑄴𑄖𑄮,эсперанто,eo,eo,ᎡᏍᏇᎳᏂᏙ,ئێسپیرانتۆ,esperanto,Esperanto,esperanto,eo,Esperanto,eo,eo,esperanto,eo,eo,ཨེས་པ་རཱན་ཏོ་ཁ,eo,esperantogbe,Εσπεράντο,Esperanto,esperanto,esperanto,esperanto,esperanto,eo,اسپرانتو,eo,esperanto,Esperanto,esperanto,espéranto,esperanto,Esperanto,Esperanto,Esperanto,esperanto,Eschperanto,એસ્પેરાન્ટો,eo,eo,Esperanto,eo,אספרנטו,एस्पेरेंतो,esperanto,esperanto,eszperantó,էսպերանտո,esperanto,Esperanto,Ndị Esperantọ,eo,esperantó,esperanto,エスペラント語,eo,eo,Esperanto,ესპერანტო,eo,eo,eo,sperantu,eo,eo,эсперанто тілі,eo,eo,eo,អេស្ពេរ៉ាន់តូ,ಎಸ್ಪೆರಾಂಟೊ,에스페란토어,इस्परान्टो,ایسپَرینٹو,eo,eo,Esperanto,esperantoyî,eo,эсперанто,eo,Esperanto,eo,Esperanto Iyápi,eo,ເອສປາຍ,ئسپئرانتو,esperanto,eo,eo,eo,esperanto,eo,eo,eo,eo,eo,eo,eo,eo,есперанто,എസ്‌പരാന്റോ,эсперанто,eo,एस्परान्टो,Esperanto,Esperanto,eo,အက်စ်ပရန်တို,اسپرانتو,eo,esperanto,eo,एस्पेरान्तो,Esperanto,eo,esperanto,eo,esperanto,eo,eo,Afaan Esperantoo,ଏସ୍ପାରେଣ୍ଟୋ,есперанто,ਇਸਪੇਰਾਂਟੋ,Ẹsperánto Lángwej,esperanto,اسپرانتو,esperanto,Esperanto Simi,esperanto,eo,esperanto,eo,эсперанто,Icyesiperanto,eo,eo,eo,eo,eo,eo,esperanto,ايسپرانٽو,eo,eo,eo,eo,eo,එස්පැරන්ටෝ,esperanto,esperanto,esperantokielâ,eo,Isberaanto,esperanto,есперанто,eo,esperanto,Kiesperanto,எஸ்பரேன்டோ,ఎస్పెరాంటో,eo,эсперанто,เอสเปรันโต,ኤስፐራንቶ,esperanto dili,lea fakaʻesipulanito,Esperanto,эсперанто,eo,eo,ئېسپرانتوچە,есперанто,ایسپرانٹو,esperanto,eo,Tiếng Quốc Tế Ngữ,eo,eo,Esperantoo,eo,eo,eo,עספּעראַנטא,Èdè Esperanto,世界文,eo,世界语,isi-Esperanto
es,Spaans,Sɨ̀kpanìs,Spain kasa,ስፓንሽኛ,الإسبانية,স্পেনিচ,Kihithpania,español,ispan,Hɔp u panyā,іспанская,Ichi Spanishi,Hihispania,испански,esipaɲolkan,স্প্যানিশ,es,spagnoleg,स्पैनिश,španski,espanyol,𑄥𑄳𑄛𑄳𑄠𑄚𑄨𑄌𑄴,испанхойн,Espanyol,Orusupaani,ᏍᏆᏂ,ئیسپانی,španělština,Sbaeneg,spansk,Kihispania,Spanisch,Espaaɲe senni,स्पैनिश,špańšćina,es,español,ཨིས་པེ་ནིཤ་ཁ,Kĩhispania,Spanishgbe,Ισπανικά,Spanish,hispana,español,hispaania,espainiera,ǹkɔ́bɔ kpənyá,اسپانیایی,Español,espanja,Spanish,spanskt,espagnol,spagnûl,Spaansk,Spáinnis,Spàinntis,español,Schpanisch,સ્પેનિશ,Kihispania,es,Sifaniyanci,Paniolo,ספרדית,स्पेनी,španjolski,španišćina,spanyol,իսպաներեն,espaniol,Spanyol,Spanishi,ꑭꀠꑸꉙ,spænska,spagnolo,スペイン語,es,Kyihispania,Spanyol,ესპანური,Taspenyulit,Kihispania,Chihispania,spanhol,Espaaɲe senni,Kihispania,испан тілі,es,es,kutitab Espianik,អេស្ប៉ាញ,ಸ್ಪ್ಯಾನಿಷ್,스페인어,स्पॅनीश,سپینِش,Kihispania,rikpanyá,Schpahnesch,spanî,es,испанча,Kɨhispánia,Spuenesch,Lusipanya,Spayóla Iyápi,lisipanye,ສະແປນນິຊ,ئسپانیایی,ispanų,Lihispania,Kihispania,Kihispania,spāņu,स्पेनिश,nkʉtʉ́k ɔ́ɔ̄ lspania,Kĩspĩni,espagnol,Espaniola,Ihispaniola,es,Paniora,шпански,സ്‌പാനിഷ്,испани,স্পেনিস,स्पॅनिश,Sepanyol,Spanjol,Espaniya,စပိန်,ایسپانیولی,Spaans,spansk,isi-Sipeyini,स्पेनी,Spaans,Paŋá,spansk,es,spansk,Thok i̱thpaaniani,Orusupaani,Afaan Ispeen,ସ୍ପେନିୟ,испайнаг,ਸਪੇਨੀ,Spánish Lángwej,hiszpański,هسپانوي,espanhol,Español Simi,spagnol,Icesipanyolo,spaniolă,Kihispania,испанский,Icyesipanyolo,Kyihispania,स्पेनीय भाषा:,Ыспаанныы,Kihispania,ᱮᱥᱯᱮᱱᱤᱥ,Ishihisipaniya,ispagnolu,هسپانوي,spánskkagiella,espanhol,Espaaɲe senni,Espanyöl,ⵜⴰⵙⴱⵏⵢⵓⵍⵉⵜ,ස්පාඤ්ඤ,španielčina,španščina,espanjakielâ,chiSpanish,Isbaanish,spanjisht,шпански,Spanyol,spanska,Kihispania,ஸ்பானிஷ்,స్పానిష్,Kihispania,испанӣ,สเปน,ስጳንኛ,ispan dili,lea fakasipēnisi,İspanyolca,испан,Espaaɲe senni,tasbelyunit,ئىسپانچە,іспанська,ہسپانوی,ispancha,ꕐꘊꔧ,Tiếng Tây Ban Nha,Kyihispania,Schpaniš,Español,es,Olusipanya,nuɛspanyɔ́lɛ,שפּאַניש,Èdè Sípáníìṣì,西班牙文,ⵜⴰⵙⴱⵏⵢⵓⵍⵉⵜ,西班牙语,isi-Spanish
et,Estnies,et,et,ኢስቶኒያንኛ,الإستونية,এষ্টোনিয়,et,estoniu,eston,et,эстонская,et,et,естонски,et,এস্তোনীয়,et,estoneg,ऐस्टोनियन्,estonski,estonià,𑄆𑄌𑄴𑄖𑄨𑄚𑄩𑄠𑄧,эстонийн,et,et,ᎡᏍᏙᏂᎠᏂ,ئیستۆنی,estonština,Estoneg,estisk,et,Estnisch,et,et,estišćina,et,et,ཨེས་ཊོ་ནི་ཡཱན་ཁ,et,estoniagbe,Εσθονικά,Estonian,estona,estonio,eesti,estoniera,et,استونیایی,et,viro,Estonian,estiskt,estonien,eston,Estlânsk,Eastóinis,Eastoinis,estoniano,Eestnisch,એસ્ટોનિયન,et,et,Istoniyanci,et,אסטונית,एस्टोनियाई,estonski,estišćina,észt,էստոներեն,estoniano,Esti,Ndị Estọnịa,et,eistneska,estone,エストニア語,et,et,Estonia,ესტონური,et,et,et,stonianu,et,et,эстон тілі,et,et,et,អេស្តូនី,ಎಸ್ಟೊನಿಯನ್,에스토니아어,इस्टोनियन्,ایسٹونیَن,et,et,Äßnesch,estonî,et,эстончо,et,Estnesch,et,Estonia Iyápi,et,ເອສໂຕນຽນ,ئستونیایی,estų,et,et,et,igauņu,et,et,et,et,et,et,et,et,естонски,എസ്റ്റോണിയൻ,эстони,et,इस्टोनियन,Estonia,Estonjan,et,အက်စ်တိုးနီးယား,استونیایی,et,estisk,et,इस्टोनियन,Estisch,et,estisk,et,estisk,et,et,Afaan Istooniya,ଏସ୍ତୋନିଆନ୍,естойнаг,ਇਸਟੋਨੀਆਈ,Ẹstóniá Lángwej,estoński,حبشي,estoniano,Estonio Simi,eston,et,estonă,et,эстонский,Icyesitoniya,et,et,Эстиэнийэлии,et,et,et,èstone,ايستونائي,esttegiella,et,et,et,et,එස්තෝනියානු,estónčina,estonščina,eestikielâ,et,Istooniyaan,estonisht,естонски,et,estniska,Kiestonia,எஸ்டோனியன்,ఎస్టోనియన్,et,эстонӣ,เอสโตเนีย,ኤስቶንኛ,eston dili,lea fakaʻesitōnia,Estonca,эстон,et,et,ئېستونچە,естонська,اسٹونین,estoncha,et,Tiếng Estonia,et,Estniš,Estoñiye,et,et,et,עסטיש,Èdè Estonia,愛沙尼亞文,et,爱沙尼亚语,isi-Estonia
eu,Baskies,eu,eu,ባስክኛ,الباسكية,বাস্ক,eu,vascu,bask,eu,баскская,eu,eu,баски,eu,বাস্ক,eu,euskareg,बास्क्,baskijski,basc,𑄝𑄌𑄴𑄇𑄧,баскийн,eu,eu,ᏆᏍᎨ,باسکی,baskičtina,Basgeg,baskisk,eu,Baskisch,eu,eu,baskišćina,eu,eu,བཱསཀ་ཁ,eu,basqugbe,Βασκικά,Basque,eŭska,euskera,baski,euskara,eu,باسکی,eu,baski,Basque,baskiskt,basque,basc,Baskysk,Bascais,Basgais,éuscaro,Baskisch,બાસ્ક,eu,eu,Basque,eu,בסקית,बास्क,baskijski,baskišćina,baszk,բասկերեն,basco,Basque,Baskwe,eu,baskneska,basco,バスク語,eu,eu,Basque,ბასკური,eu,eu,eu,basku,eu,eu,баск тілі,eu,eu,eu,បាសខ៍,ಬಾಸ್ಕ್,바스크어,बास्क,باسک,eu,eu,Baskesch,baskî,eu,баскча,eu,Baskesch,eu,Basque Iyápi,eu,ບັສກີ,باسکی,baskų,eu,eu,eu,basku,eu,eu,eu,eu,eu,eu,eu,eu,баскиски,ബാസ്‌ക്,баск,eu,बास्क,Basque,Bask,eu,ဘာစ်ခ်,باسکی,eu,baskisk,eu,बास्क,Baskisch,eu,baskisk,eu,baskisk,eu,eu,Afaan Baskuu,ବାସ୍କ୍ୱି,баскаг,ਬਾਸਕ,Básk Lángwej,baskijski,باسکي,basco,Euskera Simi,basc,eu,bască,eu,баскский,Ikibasiki,eu,eu,eu,eu,eu,eu,bascu,باسق,eu,eu,eu,eu,eu,බාස්ක්,baskičtina,baskovščina,baskikielâ,eu,Basquu,baskisht,баскијски,eu,baskiska,Kibaski,பாஸ்க்,బాస్క్యూ,eu,баскӣ,บาสก์,ባስክኛ,bask dili,lea fakapāsiki,Baskça,баск,eu,eu,باسكىچە,баскська,باسکی,bask,eu,Tiếng Basque,eu,Baskiš,Bask,eu,eu,eu,באַסקיש,Èdè Baski,巴斯克文,eu,巴斯克语,isi-Basque
ewo,Ewondo,ewo,ewo,ኤዎንዶ,الإيوندو,ইওন্দো,ewo,ewondo,evondo,ewo,эвонда,ewo,ewo,евондо,ewo,ইওন্ডো,ewo,ewondo,एवौंडो,evondo,ewondo,𑄄𑄃𑄮𑄚𑄴𑄓𑄮,эвондо,ewo,ewo,ᎡᏬᏂᏙ,ئێوۆندۆ,ewondo,Ewondo,ewondo,ewo,Ewondo,ewo,ewo,ewondo,ewo,ewo,ewo,ewo,ewo,Εγουόντο,Ewondo,ewo,ewondo,evondo,ewondera,ewondo,اواندو,ewo,ewondo,Ewondo,ewondo,éwondo,ewo,Ewondo,Éabhandóis,Ewondo,ewondo,Ewondo,ઇવોન્ડો,ewo,ewo,Ewondo,ewo,אוונדו,इवोन्डो,ewondo,ewondo,evondo,էվոնդո,ewondo,Ewondo,Ewọndọ,ewo,evondó,ewondo,エウォンド語,ewo,ewo,Ewondo,ევონდო,ewo,ewo,ewo,ewondo,ewo,ewo,эвондо тілі,ewo,ewo,ewo,អ៊ីវ៉ុនដូ,ಇವಾಂಡೋ,이원도어,एवोंडो,ایوونڈو,ewo,ewo,Ewonndo,ewo,ewo,эвондочо,ewo,Ewondo,ewo,ewo,ewo,ອີວອນດູ,ewo,evondo,ewo,ewo,ewo,evondu,ewo,ewo,ewo,ewo,ewo,ewo,ewo,ewo,евондо,എവോൻഡോ,эвондо,ewo,इवोन्डो,Ewondo,Ewondo,ewo,အီဝန်ဒို,ewo,ewo,ewondo,ewo,इवोन्डो,Ewondo,ewo,ewondo,Shwóŋò pʉa Yɔɔnmendi,ewondo,ewo,ewo,ewo,ଇୱୋଣ୍ଡୋ,ewo,ਇਵੋਂਡੋ,Ẹwondo Lángwej,ewondo,اوونڊو,ewondo,Ewondo Simi,ewondo,ewo,ewondo,ewo,эвондо,ewo,ewo,ewo,ewo,ewo,ewo,ewo,ewondo,اوانڊو,ewo,ewo,ewo,ewo,ewo,එවොන්ඩො,ewondo,evondovščina,ewondokielâ,ewo,Eewondho,euondoisht,евондо,ewo,ewondo,Kiewondo,எவோன்டோ,ఎవోండొ,ewo,ewo,อีวันโด,ኤዎንዶ,ewondo dili,lea fakaʻeuōnito,Ewondo,ewo,ewo,ewo,ئېۋوندوچە,евондо,ایوانڈو,evondo,ewo,Tiếng Ewondo,ewo,ewo,ewo,ewo,ewo,ewo,ewo,Èdè Èwóǹdò,依汪都文,ewo,埃翁多语,isi-Ewondo
fa,Persies,Kpɛɛshìa,Pɛɛhyia kasa,ፐርሺያኛ,الفارسية,ফাৰ্ছী,Kiajemi,persa,fars,Hɔp u pɛrsìà,фарсі,Ichi Pesia,Hiajemi,персийски,perisanikan,ফার্সি,fa,perseg,फार्सी,perzijski,persa,𑄜𑄢𑄴𑄥𑄨,гӀажарийн,fa,Orupaasiya,ᏇᏏᎠᏂ,فارسی,perština,Perseg,persisk,Kiajemi,Persisch,Farsi senni,fa,persišćina,fa,persan,པར་ཤི་ཡཱན་ཁ,Kĩanjemi,persiagbe,Περσικά,Persian,persa,persa,pärsia,persiera,ǹkɔ́bɔ fɛ́rəsian,فارسی,Perseere,persia,Persian,persiskt,persan,persian,Perzysk,Peirsis,Peirsis,persa,Persisch,ફારસી,Kiajemi,fa,Farisa,fa,פרסית,फ़ारसी,perzijski,persišćina,perzsa,պարսկերեն,persa,Persia,Peshianụ,fa,persneska,persiano,ペルシア語,fa,Kyiajemi,Persia,სპარსული,Tafarisit,Kiajemi,Chiajemi,persa,Farsi senni,Kiajemi,парсы тілі,fa,fa,kutitab Persia,ភឺសៀន,ಪರ್ಶಿಯನ್,페르시아어,पर्शियन,فارسی,Kiajemi,ripɛrsán,Pärsesch,farisî,fa,фарсча,Kɨajéemi,Persesch,Luperusi,Persian Iyápi,lipelésanɛ,ເປີຊຽນ,فارسی,persų,Mpepajemi,Kiajemi,Kiajemi,persiešu,fa,nkʉtʉ́k ɔ́ɔ̄ lpersia,Kĩpasia,persan,Persa,Iajemi,fa,fa,персиски,പേർഷ്യൻ,перс,fa,फारसी,Parsi,Persjan,Persia,ပါရှန်,فارسی,Persiaǁî gowab,persisk,isi-Pheshiyani,फारसी,Perzisch,Kiɛl pɛrsia,persisk,fa,persisk,Thok perthiani,Orupaasiya,Afaan Persia,ପର୍ସିଆନ୍,персайнаг,ਫ਼ਾਰਸੀ,Pẹ́shiá Lángwej,perski,فارسي,persa,Persa Simi,persian,Igiperisi,persană,Kiajemi,персидский,Inyeperisi,Kyiajemi,fa,Пиэристии,Kiajemi,fa,Ishiajemi,persianu,فارسي,persijagiella,persa,Farsi senni,Farsî,ⵜⴰⴼⵓⵔⵙⵉⵜ,පර්සියානු,perzština,perzijščina,persiakielâ,chiPeshiya,Faarisi,persisht,персијски,fa,persiska,Kiajemi,பெர்ஷியன்,పర్షియన్,Kiajemi,форсӣ,เปอร์เซีย,ፋርስኛ,pars dili,lea fakapēsia,Farsça,фарсы,Farsi senni,Tafarisit,پارسچە,перська,فارسی,fors,ꗨꗡꔻꘂꘋ,Tiếng Ba Tư,Kyiajemi,Persiš,Pers,fa,Oluperusi,nupɛ́lisɛ,פּערסיש,Èdè Pasia,波斯文,ⵜⴰⴼⵓⵔⵙⵉⵜ,波斯语,isi-Persian
ff,Fulah,ff,ff,ፉላህ,الفولانية,ফুলাহ,ff,fulah,fula,ff,фула,ff,ff,фула,ff,ফুলাহ্,ff,fula,फुलाह्,fulah,ful,𑄜𑄪𑄣𑄳𑄦,фулах,ff,ff,ᏊᎳᏂ,فوولایی,fulbština,Ffwla,fulah,ff,Ful,ff,ff,fulbšćina,ff,ff,ff,ff,ff,Φουλά,Fulah,ff,fula,fula,fula,ff,فولانی,Pulaar,fulani,Fulah,fulah,peul,fulah,Fulah,Fuláinis,Fulah,fula,Ful,ફુલાહ,ff,ff,Fulah,ff,פולה,फुलाह,fula,fulbšćina,fulani,ֆուլահ,fula,Fula,Fula,ff,fúla,fulah,フラ語,ff,ff,Fulah,ფულა,ff,ff,ff,fula,ff,ff,фула тілі,ff,ff,ff,ហ្វ៊ូឡា,ಫುಲಾ,풀라어,फुला,فُلاہ,ff,ff,Fulfulde,fulahî,ff,фулача,ff,Ful,ff,ff,ff,ຟູລາ,ff,fulahų,ff,ff,ff,fulu,ff,ff,ff,ff,ff,ff,ff,ff,фула,ഫുല,фула,ff,फुलाह,Fulah,Fulah,ff,ဖူလာ,ff,ff,fulfulde,ff,फुलाह,Fulah,ff,fulfulde,Shwóŋò menkesaŋ,fulfulde,ff,ff,ff,ଫୁଲାହ,ff,ਫੁਲਾਹ,Fúlaní Lángwej,fulani,فولاح,fula,Fulah Simi,fulah,ff,fulah,ff,фулах,ff,ff,ff,ff,ff,ff,ff,fulah,فلاهه,ff,ff,ff,ff,ff,ෆුලාහ්,fulbčina,fulščina,fulakielâ,ff,Fuulah,fulaisht,фула,ff,fulani,Kifulani,ஃபுலா,ఫ్యుల,ff,фулаҳ,ฟูลาห์,ፉላ,fula dili,lea fakafulā,Fula dili,фула,ff,ff,فۇلاھچە,фула,فولہ,fula,ff,Tiếng Fulah,ff,ff,Pël,ff,ff,ff,ff,Èdè Fúlàní,富拉文,ff,富拉语,isi-Fulah
